"category","category_name","description"
"IAB5-14","Special Education","Content focused on inclusive education for students with specific learning or physical needs. Covers learning disabilities (Dyslexia, ADHD, Autism spectrum), individualized education programs (IEPs), Guidelines by the Rehabilitation Council of India (RCI), and training for special educators."
"IAB5-15","Studying Business","Information concerning commerce, finance, and management education. Covers degrees like B.Com and BBA, professional certifications (Chartered Accountancy - CA, Company Secretary - CS), and rigorous preparation for Indian MBA entrance exams (CAT, XAT, NMAT) targeting tier-1 B-schools."
"IAB6","Family & Parenting","Broad content focusing on domestic life, child-rearing, and household dynamics. In the Indian context, this encompasses the transition from traditional multi-generational joint families to urban nuclear setups, cultural values (sanskar), kinship networks, work-life balance for working parents, and managing relationships across generations."
"IAB6-1","Adoption","Content related to the legal, social, and emotional processes of adopting children. Covers Indian adoption regulations under CARA (Central Adoption Resource Authority), the Hindu Adoptions and Maintenance Act (HAMA), the Juvenile Justice Act, navigating complex legal paperwork, overcoming social stigmas, and foster care."
"IAB6-2","Babies and Toddlers","Information regarding infant care and early childhood development (ages 0-3). Includes pediatric health, vaccination schedules (BCG, Polio, DPT), traditional Indian baby care practices (maalish/mustard oil massage), cultural ceremonies (Mundan, Annaprashan), sleep training, weaning, and infant nutrition (Cerelac, homemade purees)."
"IAB6-3","Daycare/Pre School","Content focused on early childhood care and education (ECCE) for working families. Covers the booming Indian playschool sector (such as Kidzee, EuroKids), government Anganwadi centers, corporate creches, Montessori methodologies, and the logistical challenges of hiring trusted domestic nannies (ayahs)."
"IAB6-4","Family Internet","Guidance on digital safety, broadband usage, and technology consumption within the household. Covers digital parenting, setting screen time limits, parental control software, cyberbullying awareness, safe online gaming environments, family WhatsApp groups, and digital literacy for senior citizens."
"IAB6-5","Parenting - K-6 Kids","Advice on raising primary school-aged children (approx. ages 5-11). Covers managing school homework, the reliance on private tuitions, balancing academics with extracurriculars, child nutrition (health drinks, tiffin box recipes), behavioral discipline, and imparting cultural/moral stories (Panchatantra, mythology)."
"IAB6-6","Parenting teens","Content navigating adolescence, puberty, and young adulthood. In India, this heavily features managing immense academic stress (Class 10/12 board exams, JEE/NEET coaching pressure), addressing the generation gap, tackling peer pressure, teenage rebellion, and fostering open conversations about mental health and social media addiction."
"IAB6-7","Pregnancy","Information on maternal health, obstetrics, and the journey from conception to childbirth. Covers prenatal care, traditional Indian pregnancy customs (Godh Bharai/baby shower, postpartum confinement diets like panjiri and ghee), maternity leave laws, sonography regulations (PCPNDT Act), and newborn nursing."
"IAB6-8","Special Needs Kids","Resources for parenting children with physical, developmental, or learning disabilities. Covers navigating the Indian inclusive education system, seeking specialized therapies (speech, occupational), understanding neurodivergence (Autism spectrum, ADHD, Dyslexia), the Rights of Persons with Disabilities Act, and localized parent support networks."
"IAB6-9","Eldercare","Content focused on geriatric health, senior citizen welfare, and supporting aging parents. Discusses the strong Indian cultural ethos of filial duty (Shravan Kumar ideal), home healthcare nursing, managing chronic illnesses (diabetes, dementia), the rise of premium assisted living and retirement communities, and Ayushman Bharat senior schemes."
"IAB7","Health & Fitness","Broad coverage of physical and mental well-being, preventative healthcare, and medical treatments. In India, this spans modern allopathic medicine (Apollo, Fortis), traditional AYUSH practices (Ayurveda, Yoga, Unani, Siddha, Homeopathy), fitness trends, government health schemes (Ayushman Bharat, CGHS), and generic pharmaceutical availability (Jan Aushadhi)."
"IAB7-1","Exercise","Content focused on physical workouts and fitness regimens. Covers the Indian gym culture (Cult.fit, Gold's Gym), indigenous practices like Surya Namaskar and Akhara wrestling (Pehlwani), marathon training in tier-1 cities, Zumba, and general home workout trends."
"IAB7-2","A.D.D.","Information on Attention Deficit Disorder (ADHD) management. Focuses on neurodivergence in the Indian context, destigmatizing pediatric mental health, specialized educational accommodations, pediatric psychiatry, and behavioral therapy available in metropolitan cities."
"IAB7-3","AIDS/HIV","Content regarding HIV prevention, treatment, and living with AIDS. Covers the National AIDS Control Organisation (NACO) guidelines, ART (Antiretroviral Therapy) centers in India, breaking rural stigmas, NGOs working in high-risk group rehabilitation, and sexual health awareness."
"IAB7-4","Allergies","Information on managing hypersensitivity and allergic reactions. Covers common Indian allergens like pollen, dust mites, and pollution-induced rhinitis (especially in Delhi NCR), food allergies (lactose, peanut), antihistamine medications, and traditional dietary avoidances."
"IAB7-5","Alternative Medicine","Content dedicated to non-allopathic healing practices. Deeply rooted in India via the AYUSH ministry, covering Ayurvedic doshas (Vata, Pitta, Kapha), Panchakarma therapy, Homeopathy remedies (Arnica, Nux Vomica), Siddha medicine in Tamil Nadu, and Naturopathy."
"IAB7-6","Arthritis","Information on joint inflammation and musculoskeletal pain. Covers osteoarthritis and rheumatoid arthritis prevalent among the Indian elderly demographic, pain management via allopathic analgesics, physiotherapies, and Ayurvedic treatments like Shallaki and joint massages."
"IAB7-7","Asthma","Content regarding chronic respiratory conditions. Highly relevant in India due to urban air pollution (high AQI) and crop stubble burning. Covers asthma inhalers (Cipla), nebulization, pediatric asthma, pulmonary function tests, and breathing exercises like Pranayama."
"IAB7-8","Autism/PDD","Resources for Autism Spectrum Disorder and Pervasive Developmental Disorders. Covers early diagnostic centers in India, occupational and speech therapy, navigating the Rights of Persons with Disabilities Act, and breaking societal taboos around neurodivergence."
"IAB7-9","Bipolar Disorder","Information on managing manic-depressive illness. Focuses on psychiatric care, mood stabilizers, the role of family support in the Indian joint family structure, the Mental Healthcare Act 2017, and destigmatizing severe mental health conditions."
"IAB7-10","Brain Tumor","Content covering neuro-oncology and brain cancer treatments. Details advanced neurosurgery options at premier Indian institutes (NIMHANS, AIIMS), radiation therapy, chemotherapy protocols, diagnostic MRIs, and patient rehabilitation."
"IAB7-11","Cancer","Comprehensive oncology resources. Covers breast, cervical, and oral cancers (highly prevalent in India due to tobacco/gutka consumption). Includes treatment protocols at Tata Memorial Hospital, chemotherapy, radiation, generic cancer drugs, and palliative care."
"IAB7-12","Cholesterol","Information on managing lipid levels and cardiovascular risk. Covers dietary shifts away from trans-fats and excessive ghee, statin medications, lipid profile blood tests (PathKind, Dr. Lal PathLabs), and lifestyle interventions for the Indian demographic."
"IAB7-13","Chronic Fatigue Syndrome","Content on long-term disabling fatigue (Myalgic Encephalomyelitis). Discusses diagnostic challenges in India, the impact on corporate workforce productivity, symptom management, and distinguishing CFS from general nutritional deficiencies like Vitamin D/B12."
"IAB7-14","Chronic Pain","Information on long-term pain management. Covers neuropathic pain, slipped discs, and fibromyalgia. Includes Indian pain clinics, alternative acupuncture, ergonomic corrections for IT professionals, and restrictions on opioid analgesics in India."
"IAB7-15","Cold & Flu","Guidance on seasonal viral infections. Highly relevant during the Indian monsoon and winter shifts. Covers OTC medicines (Crocin, Dolo-650, Cheston Cold), traditional Indian home remedies (kadha, haldi doodh/turmeric milk), and influenza vaccinations."
"IAB7-16","Deafness","Resources for hearing loss and audiology. Covers hearing aids, cochlear implants under government schemes (ADIP), learning Indian Sign Language (ISL), and accessible infrastructure for the hearing impaired in educational institutions."
"IAB7-17","Dental Care","Information on oral hygiene and dentistry. Covers pediatric dentistry, orthodontics (braces/aligners like toothsi), root canal treatments, periodontics, scaling, and the booming Indian cosmetic dentistry and dental tourism sector."
"IAB7-18","Depression","Content concerning major depressive disorder. Discusses the growing awareness of clinical depression in India, accessible tele-psychiatry platforms (Practo, Wysa), destigmatizing seeking therapy, anti-depressants, and suicide prevention helplines (AASRA)."
"IAB7-19","Dermatology","Information on skin, hair, and nail health. Covers common Indian skin concerns like hyperpigmentation, fungal infections (due to humid climate), acne treatments, hair loss solutions (minoxidil), and the shift towards clinical derma-skincare brands."
"IAB7-20","Diabetes","Comprehensive content on metabolic disease management. Highly critical as India is often termed the 'Diabetes Capital of the World.' Covers Type 2 diabetes, HbA1c testing, insulin administration, glucometers, dietary control (low glycemic index Indian foods), and diabetic retinopathy."
"IAB7-21","Epilepsy","Information on neurological seizure disorders. Covers anti-epileptic drug therapy, EEG diagnostics, addressing rural Indian superstitions surrounding seizures, and managing workplace/school environments for epileptic patients."
"IAB7-22","GERD/Acid Reflux","Guidance on gastroesophageal reflux disease. Common in India due to spicy, oily diets and irregular eating habits. Covers antacids (Gelusil, Digene), proton pump inhibitors (Pantocid), endoscopy, and dietary modifications like reducing chillies and caffeine."
